fold,baseline_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,demand_band,high,8.542087542087542,14.151774703998338,0.26584931363302944,0.696969696969697,207.0,9543.0,9750.0,297,0.7170262488465474,297,0
combined,zero,days_1_7_aggregate,7,aggregate,demand_band,high,32.13131313131313,49.891633408569454,1.0,-32.13131313131313,-9543.0,9543.0,0.0,297,2.5243107985040263,297,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,demand_band,low,2.336270866520477,3.1164032499289256,0.5729747707321071,0.19844251013163364,58.93742550909519,1211.0,1269.9374255090952,297,0.7263530960531339,297,0
combined,last_value,days_1_7_aggregate,7,aggregate,demand_band,low,3.952861952861953,5.924326383450113,0.9694467382328654,-0.2356902356902357,-70.0,1211.0,1141.0,297,1.2253535367780108,297,0
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,low,2.071548819943309,3.0241382978074296,0.5080511969638009,0.06481480999827786,19.249998569488525,1211.0,1230.2499985694885,297,0.6463665478611524,297,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,demand_band,low,2.303030303030303,3.252556621970566,0.564822460776218,0.08080808080808081,24.0,1211.0,1235.0,297,0.7330187942966685,297,0
combined,zero,days_1_7_aggregate,7,aggregate,demand_band,low,4.077441077441078,5.9974742158426135,1.0,-4.077441077441078,-1211.0,1211.0,0.0,297,1.212543500105161,297,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,demand_band,medium,4.110989646194807,5.774729662728508,0.5686992910197156,1.4199468879138721,434.5037477016449,2212.0,2646.503747701645,306,0.8263444239568358,306,0
combined,last_value,days_1_7_aggregate,7,aggregate,demand_band,medium,7.281045751633987,11.844305876637366,1.0072332730560578,1.2810457516339868,392.0,2212.0,2604.0,306,1.5265674790038728,306,0
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,medium,3.1380718829585055,4.442235436878431,0.4341094015304262,0.858660121369206,262.74999713897705,2212.0,2474.749997138977,306,0.6509266614032644,306,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,demand_band,medium,3.303921568627451,5.265189666310438,0.45705244122965644,0.8529411764705882,261.0,2212.0,2473.0,306,0.6867729081610654,306,0
combined,zero,days_1_7_aggregate,7,aggregate,demand_band,medium,7.228758169934641,9.943960626489652,1.0,-7.228758169934641,-2212.0,2212.0,0.0,306,1.4097094526598986,306,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,5.563276819829587,8.958358690742871,0.3816272208724565,-0.5995358281665378,-80.9373368024826,1968.0,1887.0626631975174,135,0.8683304783147691,135,0
combined,last_value,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,11.540740740740741,23.06287701689224,0.7916666666666666,2.2222222222222223,300.0,1968.0,2268.0,135,1.7351845440527318,135,0
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,4.522222211625841,7.013875029354038,0.3102134139072604,-0.4777778095669217,-64.50000429153442,1968.0,1903.4999957084656,135,0.7237704349778938,135,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,5.62962962962963,10.198765357376098,0.3861788617886179,-0.45925925925925926,-62.0,1968.0,1906.0,135,0.9279914251156828,135,0
combined,zero,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,14.577777777777778,24.672671941659274,1.0,-14.577777777777778,-1968.0,1968.0,0.0,135,1.9209425732457188,135,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,6.71781887634406,15.67797592649248,0.912117649158784,3.2866789644199703,828.2430990338326,1856.0,2684.2430990338326,252,0.8512742546859197,252,0
combined,last_value,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,6.440476190476191,10.350024921371729,0.8744612068965517,0.051587301587301584,13.0,1856.0,1869.0,252,1.2725041191576625,252,0
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,3.375000011353266,5.023802483461606,0.45824353602425805,1.369047619047619,345.0,1856.0,2201.0,252,0.7124476240100758,252,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,3.1865079365079363,5.533089495487974,0.4326508620689655,0.7896825396825397,199.0,1856.0,2055.0,252,0.6319391368184857,252,0
combined,zero,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,7.365079365079365,13.234454792351427,1.0,-7.365079365079365,-1856.0,1856.0,0.0,252,1.2893392615173416,252,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,5.887535323960739,10.757215113004882,0.33037690015224885,-0.13785615473346635,-70.72020737826824,9142.0,9071.279792621732,513,0.7815355919406909,513,0
combined,last_value,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,9.541910331384015,16.726034614281076,0.5354408225771166,0.01364522417153996,7.0,9142.0,9149.0,513,1.3347815224478288,513,0
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,4.917153960780094,9.55297118681586,0.27592430342159135,0.6267056307132713,321.4999885559082,9142.0,9463.499988555908,513,0.6315418576904199,513,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,5.202729044834308,9.80800087131001,0.29194924524174143,0.6920077972709552,355.0,9142.0,9497.0,513,0.6945192647991142,513,0
combined,zero,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,17.820662768031188,35.70258343506281,1.0,-17.820662768031188,-9142.0,9142.0,0.0,513,1.8654504442696207,513,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.3364640049776941,1.8551088475901856,0.8236347937653231,0.17537517339553474,9.29488418996334,86.0,95.29488418996334,53,0.6848595709577334,53,0
combined,last_value,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.9811320754716981,2.9620237854649947,1.2209302325581395,-0.4339622641509434,-23.0,86.0,63.0,53,1.0599339932082443,53,0
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.0047169811320755,1.2862663534725114,0.6191860465116279,0.09905660377358491,5.25,86.0,91.25,53,0.5951969248352807,53,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.6415094339622642,2.580770690799662,1.0116279069767442,0.4339622641509434,23.0,86.0,109.0,53,0.8972277022151972,53,0
combined,zero,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.6226415094339623,2.502828588496669,1.0,-1.6226415094339623,-86.0,86.0,0.0,53,0.8819952874353293,53,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,3.2919517890344916,4.840574599664583,0.512398418589334,0.9226165985701532,397.64775398373604,2769.0,3166.647753983736,431,0.8049077186841432,431,0
combined,last_value,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,5.5429234338747095,10.259396688774316,0.8627663416395811,0.4617169373549884,199.0,2769.0,2968.0,431,1.3661134713282899,431,0
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,2.6223897679499295,4.0380476653987225,0.4081798447043769,0.5817865174773674,250.74998903274536,2769.0,3019.7499890327454,431,0.6606966982738068,431,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,2.7981438515081205,4.604043416092226,0.4355362946912243,0.46403712296983757,200.0,2769.0,2969.0,431,0.7013240319653636,431,0
combined,zero,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,6.424593967517401,17.03558443056625,1.0,-6.424593967517401,-2769.0,2769.0,0.0,431,1.304123134664302,431,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,intermittency_class,regular,9.554265710023733,17.11508819014729,0.39309410892788776,0.6481800881715921,269.6429166793823,10111.0,10380.642916679382,416,0.8400497629934962,416,0
combined,last_value,days_1_7_aggregate,7,aggregate,intermittency_class,regular,13.41826923076923,21.733083607185684,0.5520720007912174,0.34615384615384615,144.0,10111.0,10255.0,416,1.42954919400975,416,0
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,regular,6.7307692147218265,11.25554079986273,0.2769261194070102,0.8317307577683375,345.9999952316284,10111.0,10456.999995231628,416,0.6849064158544701,416,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,intermittency_class,regular,7.064903846153846,12.1703651737135,0.2906735238848779,0.6466346153846154,269.0,10111.0,10380.0,416,0.6995003887412116,416,0
combined,zero,days_1_7_aggregate,7,aggregate,intermittency_class,regular,24.30528846153846,39.67454740180991,1.0,-24.30528846153846,-10111.0,10111.0,0.0,416,2.2413317257847862,416,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,overall,all,6.0713759430083964,12.11695525328552,0.4214282237164551,0.7517617276145352,676.5855548530817,12966.0,13642.585554853082,900,0.8140816504654667,900,0
combined,last_value,days_1_7_aggregate,7,aggregate,overall,all,8.973333333333333,16.40860208007441,0.6228597871355854,0.35555555555555557,320.0,12966.0,13286.0,900,1.3774043027673175,900,0
