fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,overall,all,4.065833326975505,8.070974213416507,0.3100533802980811,0.7491666539510091,224.7499961853028,3934.0,4158.749996185303,300,0.6296421637736778,300,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,store_id,CA_1,3.2375000143051147,4.890360421284708,0.2135554099145854,0.4025000047683715,40.25000047683716,1516.0,1556.2500004768372,100,0.5170964475253902,100,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,store_id,TX_2,3.994999966621399,6.680475223427945,0.3019652280137112,0.1449999570846557,14.499995708465576,1323.0,1337.4999957084656,100,0.621124269699694,100,0,validation
validation_fold_1,mean_28,days_1_7_aggregate,7,aggregate,store_id,WI_3,4.965,11.263991299712549,0.4534246575342466,1.7,170.0,1095.0,1265.0,100,0.7507057740959489,100,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,demand_band,high,2.214491847101572,3.5650809298240853,0.5371518551072417,0.1601731234470659,110.99997454881668,2857.0,2967.9999745488167,693,0.6449343012341715,99,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,demand_band,low,0.6607400544020005,0.9923109369733532,1.147601147119264,0.0018037524488237,1.2500004470348358,399.0,400.2500004470349,693,0.666205842209019,99,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,demand_band,medium,0.9183673474061138,1.3623481165916809,0.9671302154099785,0.1575630274796936,112.50000162050128,678.0,790.5000016205013,714,0.5839039012047205,102,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_1,1.3795918324991825,2.3020005040199494,0.697546432162508,-0.0285714493029647,-9.000006530433893,623.0,613.9999934695661,315,0.7232089888417162,45,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_2,0.8656462564000061,1.2810170210497187,0.9845261097934306,0.2066326498934606,121.49999813735484,517.0,638.4999981373549,588,0.6090464319326588,84,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_3,1.42412578762698,2.61435127473458,0.6101211767321028,0.0937760944105529,112.24998500943184,2794.0,2906.249985009432,1197,0.6178758324183437,171,0,validation
