fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,xgb_tune_03,days_1_7_aggregate,7,aggregate,overall,all,4.544655090359204,8.286352144000713,0.3154550039582974,0.1599302396241142,143.9372156617028,12966.0,13109.937215661703,900,0.6890527883518219,900,0
combined,xgb_tune_03,days_1_7_daily,7,daily,overall,all,1.2882252235170422,2.4136893866882856,0.6259308119819038,0.022847177089159173,143.9372156617028,12966.0,13109.937215661703,6300,0.6452835785980204,900,0
combined,xgb_tune_03,days_1_30_aggregate,30,aggregate,overall,all,18.75737179200076,37.26669007995324,0.2817221202676883,4.035251916686361,3631.7267250177247,59923.0,63554.726725017725,900,1.310920984877375,900,0
combined,xgb_tune_03,days_1_30_daily,30,daily,overall,all,1.4929953441907748,2.6639602508631555,0.6727112176151214,0.1345083972228787,3631.7267250177247,59923.0,63554.726725017725,27000,0.7533993028950073,900,0
validation_fold_1,xgb_tune_03,day_1_daily,1,daily,overall,all,1.276311282273382,2.243110647611798,0.49533426220182997,-0.11362565313155452,-34.08769593946636,773.0,738.9123040605336,300,0.5364889724575583,300,0
validation_fold_1,xgb_tune_03,days_1_7_aggregate,7,aggregate,overall,all,4.039904751516879,6.117292586399041,0.30807611221531866,0.9261123286063473,277.8336985819042,3934.0,4211.833698581904,300,0.6672928510226874,300,0
validation_fold_1,xgb_tune_03,days_1_7_daily,7,daily,overall,all,1.2092473998719029,1.9639176771967188,0.6455057294689872,0.13230176122947818,277.8336985819042,3934.0,4211.833698581904,2100,0.6370102714385866,300,0
validation_fold_1,xgb_tune_03,days_1_30_aggregate,30,aggregate,overall,all,20.460237940363587,40.08830641519987,0.3164606816925694,5.19357422683388,1558.072268050164,19396.0,20954.072268050164,300,1.4070341795833332,300,0
validation_fold_1,xgb_tune_03,days_1_30_daily,30,daily,overall,all,1.4989190013950897,2.6257074328163013,0.6955182002761295,0.17311914089446268,1558.072268050164,19396.0,20954.072268050164,9000,0.764021073535953,300,0
validation_fold_2,xgb_tune_03,day_1_daily,1,daily,overall,all,1.037354237359638,1.8349098641660004,0.5894058166816125,-0.0030123430769890547,-0.9037029230967164,528.0,527.0962970769033,300,0.44354152325584123,300,0
validation_fold_2,xgb_tune_03,days_1_7_aggregate,7,aggregate,overall,all,4.826955580043917,9.934135509134922,0.33739204893130825,0.3262090195994824,97.86270587984473,4292.0,4389.862705879845,300,0.7145437039540753,300,0
validation_fold_2,xgb_tune_03,days_1_7_daily,7,daily,overall,all,1.2805192388421192,2.641076736431466,0.6265355082871505,0.046601288514211775,97.86270587984473,4292.0,4389.862705879845,2100,0.6243426446077053,300,0
validation_fold_2,xgb_tune_03,days_1_30_aggregate,30,aggregate,overall,all,17.945786129956446,36.51872613626116,0.26175300656295863,1.5076763625722378,452.30290877167135,20568.0,21020.30290877167,300,1.2687073583746153,300,0
validation_fold_2,xgb_tune_03,days_1_30_daily,30,daily,overall,all,1.487477375796375,2.723730453136825,0.6508798318828947,0.05025587875240793,452.30290877167135,20568.0,21020.30290877167,9000,0.7482546471985307,300,0
validation_fold_3,xgb_tune_03,day_1_daily,1,daily,overall,all,1.148853105878079,2.0555298994217215,0.6046595294095153,-0.07350144845719721,-22.050434537159163,570.0,547.9495654628408,300,0.44056697886671514,300,0
validation_fold_3,xgb_tune_03,days_1_7_aggregate,7,aggregate,overall,all,4.767104939516818,8.359580052950482,0.30171550250106444,-0.772530629333487,-231.7591888000461,4740.0,4508.240811199954,300,0.685321810078703,300,0
validation_fold_3,xgb_tune_03,days_1_7_daily,7,daily,overall,all,1.3749090318371047,2.5778732311170347,0.6091369128392236,-0.11036151847621244,-231.7591888000461,4740.0,4508.240811199954,2100,0.6744978197477693,300,0
validation_fold_3,xgb_tune_03,days_1_30_aggregate,30,aggregate,overall,all,17.86609130568225,35.01041128995284,0.26854188044013605,5.404505160652964,1621.3515481958893,19959.0,21580.35154819589,300,1.2570214166741764,300,0
validation_fold_3,xgb_tune_03,days_1_30_daily,30,daily,overall,all,1.4925896553808593,2.641402193995635,0.6730450873504551,0.18015017202176548,1621.3515481958893,19959.0,21580.35154819589,9000,0.7479221879505383,300,0
combined,xgb_tune_04,day_1_daily,1,daily,overall,all,1.1735529171680619,2.102969599796398,0.5645096875741612,-0.07568837145912564,-68.11953431321308,1871.0,1802.880465686787,900,0.4777567204457062,900,0
